Activation,Callback_Base,Callback_High,Total_Return_Pct,Sharpe_Ratio,Max_Drawdown_Pct
0.1,0.05,0.08,25.0644516667,0.8929910769,-23.7061218509
0.1,0.08,0.11,60.5918930952,0.9732774225,-23.7493918847
0.1,0.1,0.13,56.4403895238,0.963898176,-23.7417876389
0.15,0.05,0.08,52.1087169048,0.9544398058,-23.6527899132
0.15,0.08,0.11,61.0999835714,0.9744280989,-23.5451038451
0.15,0.1,0.13,58.377752381,0.968108128,-23.3531845935
0.2,0.05,0.08,55.766457381,0.9627247548000001,-23.1601014478
0.2,0.08,0.11,59.8319169048,0.9712414155,-23.2232009745
